position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,RESPNO,Respondent Number,str,1200,0,1200,,,,,
2,URBRUR,Urban or rural Primary Sampling Unit,float64,1200,0,2,"{""1"": ""Urban"", ""2"": ""Rural""}",,,1.0,2.0
3,REGION,Province or Region,float64,1200,0,24,"{""1580"": ""Tunis"", ""1581"": "" Ariana"", ""1582"": "" Manouba"", ""1583"": "" Ben Arous"", ""1584"": "" Sfax"", ""1585"": ""Sousse"", ""1586"": ""Nabeul"", ""1587"": ""Bizerte"", ""1588"": ""Zaghouan"", ""1589"": ""Sidi Bouzid"", ""1590"": ""Le Kef"", ""1591"": ""Kasserine"", ""1592"": ""Jendouba"", ""1593"": ""Bèja"", ""1594"": ""Siliana"", ""1595"": ""Kairouan"", ""1596"": ""Monastir"", ""1597"": ""Mahdia"", ""1598"": ""Medenine"", ""1599"": ""Tataouine"", ""1600"": ""Gafsa"", ""1601"": ""Gabès"", ""1602"": ""Tozeur"", ""1603"": ""Kébili""}",,,1580.0,1603.0
4,EA_SVC_A,EA-SVC-A. Electricity grid in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
5,EA_SVC_B,EA-SVC-B. Piped water system in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
6,EA_SVC_C,EA-SVC-C. Sewage system in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
7,EA_SVC_D,EA-SVC-D. Cell phone service in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
8,EA_FAC_A,EA-FAC-A. Post office in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
9,EA_FAC_B,EA-FAC-B. School in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
10,EA_FAC_C,EA-FAC-C. Police station in the PSU/EA,float64,1200,0,3,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,9.0
11,EA_FAC_D,EA-FAC-D. Health Clinic in the PSU/EA,float64,1200,0,3,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,9.0
12,EA_FAC_E,EA-FAC-E. Market stalls in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
13,EA_FAC_F,EA-FAC-F. Bank in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
14,EA_FAC_G,EA-FAC-G. Paid transport in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Can't determine""}",,,0.0,1.0
15,EA_SEC_A,EA-SEC-A. Police in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Don’t know""}",,,0.0,1.0
16,EA_SEC_B,EA-SEC-B. Soldiers/army in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Don’t know""}",,,0.0,1.0
17,EA_SEC_C,EA-SEC-C. Roadblocks by police/army in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Don’t know""}",,,0.0,1.0
18,EA_SEC_D,EA-SEC-D. Customs checkpoints in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Don’t know""}",,,0.0,1.0
19,EA_SEC_E,EA-SEC-E. Roadblocks by private security/local community in the PSU/EA,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes"", ""9"": ""Don’t know""}",,,0.0,1.0
20,EA_ROAD_A,EA-ROAD-A. Tarred/ paved road,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes""}",,,0.0,1.0
21,EA_ROAD_B,EA-ROAD-B. Impassable road,float64,1200,0,2,"{""-1"": ""Missing"", ""0"": ""No"", ""1"": ""Yes""}",,,0.0,1.0
22,NOCALL_1,Reason for Unsuccessful Call Household 1,float64,1200,0,9,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other"", ""9997"": ""Not Applicable""}",,,1.0,9997.0
23,NOCALL_1OTHER,Reason for Unsuccessful Call Household 1 (verbatim),str,3,1197,2,,"[""A hearing problem and pronunciation"", ""Disease""]",,,
24,NOCALL_2,Reason for Unsuccessful Call Household 2,float64,1200,0,8,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other"", ""9997"": ""Not Applicable""}",,,1.0,9997.0
25,NOCALL_3,Reason for Unsuccessful Call Household 3,float64,1200,0,8,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other"", ""9997"": ""Not Applicable""}",,,1.0,9997.0
26,NOCALL_4,Reason for Unsuccessful Call Household 4,float64,1200,0,9,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other"", ""9997"": ""Not Applicable""}",,,1.0,9997.0
27,NOCALL_4OTHER,Reason for Unsuccessful Call Household 4 (verbatim),str,2,1198,2,,"[""Deaf"", ""Mentally handicapped woman""]",,,
28,NOCALL_5,Reason for Unsuccessful Call Household 5,float64,1200,0,9,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other"", ""9997"": ""Not Applicable""}",,,1.0,9997.0
29,NOCALL_5OTHER,Reason for Unsuccessful Call Household 5 (verbatim),str,2,1198,2,,"[""Disease"", ""Social aid""]",,,
30,NOCALL_6,Reason for Unsuccessful Call Household 6,float64,1200,0,8,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other"", ""9997"": ""Not Applicable""}",,,1.0,9997.0
31,NOCALL_7,Reason for Unsuccessful Call Household 7,float64,1200,0,1,"{""-1"": ""Missing"", ""1"": ""Refused to be interviewed"", ""2"": ""Person selected was never at home"", ""3"": ""Household/Premises empty for the survey period"", ""4"": ""Not a citizen/Spoke only a foreign language"", ""5"": ""Deaf/Did not speak a survey language"", ""6"": ""Did not fit gender quota"", ""7"": ""No adults in household"", ""8"": ""Other __________________________"", ""9997"": ""Not Applicable""}",,,9997.0,9997.0
32,THISINT,"This interview, gender",float64,1200,0,2,"{""-1"": ""Missing"", ""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
33,PREVINT,"Previous interview, gender",float64,1200,0,3,"{""0"": ""First interview"", ""1"": ""Male"", ""2"": ""Female""}",,,0.0,2.0
34,CALLS,Number of calls,float64,1200,0,2,"{""1"": ""1"", ""2"": ""2""}",,,1.0,2.0
35,ADULT_CT,Number of adults in household,float64,1200,0,11,,,,1.0,11.0
36,DATEINTR,Date of interview,object,1200,0,25,,"[""2015-04-14"", ""2015-04-15"", ""2015-04-16"", ""2015-04-17"", ""2015-04-18"", ""2015-04-19"", ""2015-04-20"", ""2015-04-21"", ""2015-04-22"", ""2015-04-23"", ""2015-04-24"", ""2015-04-25"", ""2015-04-26"", ""2015-04-27"", ""2015-04-28"", ""2015-04-29"", ""2015-04-30"", ""2015-05-01"", ""2015-05-02"", ""2015-05-03"", ""2015-05-04"", ""2015-05-05"", ""2015-05-06"", ""2015-05-07"", ""2015-05-09""]",,,
37,STRTIME,Time interview started,object,1200,0,497,,,,,
38,Q1,Q1. Age,float64,1200,0,75,"{""-1"": ""Missing"", ""998"": ""Refused"", ""999"": ""Don’t know""}",,,18.0,999.0
39,Q2,Q2. Language of respondent,float64,1200,0,2,"{""-1"": ""Missing"", ""1"": ""English"", ""2"": ""French"", ""5"": ""Tunisian Arabic"", ""1580"": ""Berber Language"", ""9995"": ""Other"", ""9998"": ""Refused"", ""9999"": ""Don’t know""}",,,2.0,5.0
40,Q3,Q3. Overall direction of the country,float64,1200,0,4,"{""-1"": ""Missing"", ""1"": ""Going in the wrong direction"", ""2"": ""Going in the right direction"", ""9"": ""Don’t know"", ""98"": ""Refused""}",,[-1],-1.0,9.0
41,Q4A,Q4a. Country's present economic condition,float64,1200,0,6,"{""-1"": ""Missing"", ""1"": ""Very bad"", ""2"": ""Fairly bad"", ""3"": ""Neither good nor bad"", ""4"": ""Fairly Good"", ""5"": ""Very good"", ""9"": ""Don’t know"", ""98"": ""Refused""}",,,1.0,9.0
42,Q4B,Q4b. Your present living conditions,float64,1200,0,7,"{""-1"": ""Missing"", ""1"": ""Very bad"", ""2"": ""Fairly bad"", ""3"": ""Neither good nor bad"", ""4"": ""Fairly Good"", ""5"": ""Very good"", ""9"": ""Don’t know"", ""98"": ""Refused""}",,[-1],-1.0,9.0
43,Q5,Q5. Your living conditions vs. others,float64,1200,0,7,"{""-1"": ""Missing"", ""1"": ""Much worse"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Better"", ""5"": ""Much better"", ""9"": ""Don’t know"", ""98"": ""Refused""}",,[-1],-1.0,9.0
