position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,id,Identification number,float64,2000,0,2000,,,,2001.0,4000.0
2,country,Country,float64,2000,0,1,"{""1"": ""DZ"", ""2"": ""EG"", ""3"": ""LB"", ""4"": ""MA"", ""5"": ""TN""}",,,5.0,5.0
3,urban,Urban or rural area of residence,float64,2000,0,2,"{""1"": ""Urban"", ""2"": ""Rural"", ""3"": ""Do not Know"", ""4"": ""Refused to answer""}",,,1.0,2.0
4,int_d,Day of the interview,float64,2000,0,30,,,,1.0,30.0
5,int_m,Month of the interview,float64,2000,0,2,"{""1"": ""January"", ""2"": ""February"", ""3"": ""March"", ""4"": ""June"", ""5"": ""July"", ""6"": ""August"", ""7"": ""September"", ""8"": ""October"", ""9"": ""November"", ""10"": ""December""}",,,9.0,10.0
6,int_y,Year of the interview,float64,2000,0,1,,,,2015.0,2015.0
7,dweight,Design weight,float64,2000,0,58,,,,0.63,1.82
8,pweight,Population weight,float64,2000,0,1,,,,0.139,0.139
9,HM22_1,Family relationship: respondent,float64,2000,0,6,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,1.0,7.0
10,HM22_2,Family relationship: 2nd  household member,float64,1984,16,6,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,1.0,7.0
11,HM22_3,Family relationship: 3rd  household member,float64,1866,134,7,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,1.0,7.0
12,HM22_4,Family relationship: 4th  household member,float64,1479,521,7,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,1.0,7.0
13,HM22_5,Family relationship: 5th  household member,float64,961,1039,6,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,2.0,7.0
14,HM22_6,Family relationship: 6th  household member,float64,449,1551,6,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,2.0,7.0
15,HM22_7,Family relationship: 7th  household member,float64,173,1827,4,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,6.0
16,HM22_8,Family relationship: 8th  household member,float64,70,1930,4,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,6.0
17,HM22_9,Family relationship: 9th  household member,float64,32,1968,4,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,6.0
18,HM22_10,Family relationship: 10th  household member,float64,14,1986,4,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,6.0
19,HM22_11,Family relationship: 11th household member,float64,6,1994,2,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,5.0
20,HM22_12,Family relationship: 12th  household member,float64,2,1998,2,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,5.0
21,HM22_13,Family relationship: 13th  household member,float64,1,1999,1,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,3.0,3.0
22,HM22_14,Family relationship: 14th  household member,float64,0,2000,0,"{""1"": ""Head of household"", ""2"": ""Spouse of head of household"", ""3"": ""Children of head of household"", ""4"": ""Father or mother of head of household"", ""5"": ""Grandchild of head of household"", ""6"": ""Other relatives of head of household"", ""7"": ""Unrelated""}",,,,
23,HM23_1,Gender: respondent,float64,2000,0,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
24,HM23_2,Gender: 2nd household member,float64,1984,16,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
25,HM23_3,Gender: 3rd household member,float64,1865,135,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
26,HM23_4,Gender: 4th household member,float64,1478,522,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
27,HM23_5,Gender: 5th household member,float64,961,1039,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
28,HM23_6,Gender: 6th household member,float64,449,1551,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
29,HM23_7,Gender: 7th household member,float64,173,1827,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
30,HM23_8,Gender: 8th household member,float64,70,1930,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
31,HM23_9,Gender: 9th household member,float64,32,1968,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
32,HM23_10,Gender: 10th household member,float64,14,1986,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
33,HM23_11,Gender: 11th household member,float64,6,1994,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
